RUN	Optum.Framework.OptumSim	optumsim	1622569956286	Optum.Framework.OptumSim-SIMULATION_1_1:SIMULATION_2_:SIMULATION_3_:SIMULATION_4_0:Iterations_2	3.5.1
USER	Users_1	START	1622569957699
REQUEST	Scen_1,Login	BasePage	1622569957716	1622569957999	OK	 
REQUEST	Scen_1,Login	BasePage_1	1622569958022	1622569958102	OK	 
REQUEST	Scen_1,Login	BasePage_2	1622569958108	1622569958175	OK	 
REQUEST	Scen_1,Login	BasePage_3	1622569958176	1622569958244	OK	 
REQUEST	Scen_1,Login	BasePage_4	1622569958245	1622569958316	OK	 
REQUEST	Scen_1,Login	BasePage_5	1622569958317	1622569960250	OK	 
GROUP	Scen_1,Login	1622569957702	1622569960252	2502	OK
REQUEST	Scen_1,SearchByActiveMember	Select_SearchByActiveMember	1622569961261	1622569961380	OK	 
GROUP	Scen_1,SearchByActiveMember	1622569961260	1622569961381	119	OK
REQUEST	Scen_1,SearchName_douglas	Search_1	1622569962716	1622569963424	OK	 
REQUEST	Scen_1,SearchName_douglas	Search_2003330312	1622569963430	1622569963937	OK	 
GROUP	Scen_1,SearchName_douglas	1622569962713	1622569963937	1215	OK
REQUEST	Scen_1,S_2003330312	Select_douglas	1622569965222	1622569965299	OK	 
REQUEST	Scen_1,S_2003330312	request_1	1622569965300	1622569967623	OK	 
REQUEST	Scen_1,S_2003330312	request_2003330312	1622569967625	1622569970593	OK	 
GROUP	Scen_1,S_2003330312	1622569965222	1622569970594	5368	OK
REQUEST	Scen_1,DrillDown_douglas	64881	1622569972271	1622569972717	OK	 
GROUP	Scen_1,DrillDown_douglas	1622569972269	1622569972718	446	OK
REQUEST	Scen_1,SearchByActiveMember	Select_SearchByActiveMember	1622569973930	1622569974070	OK	 
GROUP	Scen_1,SearchByActiveMember	1622569973929	1622569974071	140	OK
REQUEST	Scen_1,SearchName_thomas	Search_1	1622569975372	1622569977454	OK	 
REQUEST	Scen_1,SearchName_thomas	Search_903323080	1622569977456	1622569979602	OK	 
GROUP	Scen_1,SearchName_thomas	1622569975371	1622569979603	4228	OK
REQUEST	Scen_1,S_903323080	Select_thomas	1622569980877	1622569981030	OK	 
REQUEST	Scen_1,S_903323080	request_1	1622569981031	1622569981550	OK	 
REQUEST	Scen_1,S_903323080	request_903323080	1622569981552	1622569984005	OK	 
GROUP	Scen_1,S_903323080	1622569980876	1622569984006	3125	OK
REQUEST	Scen_1,DrillDown_thomas	68806	1622569985808	1622569986003	OK	 
GROUP	Scen_1,DrillDown_thomas	1622569985807	1622569986003	195	OK
GROUP	Scen_1	1622569957701	1622569987996	17338	OK
REQUEST	Scen_1,Login	BasePage	1622569987997	1622569988307	OK	 
REQUEST	Scen_1,Login	BasePage_1	1622569988309	1622569988380	OK	 
REQUEST	Scen_1,Login	BasePage_2	1622569988382	1622569988452	OK	 
REQUEST	Scen_1,Login	BasePage_3	1622569988453	1622569988520	OK	 
REQUEST	Scen_1,Login	BasePage_4	1622569988522	1622569988591	OK	 
REQUEST	Scen_1,Login	BasePage_5	1622569988593	1622569990970	OK	 
GROUP	Scen_1,Login	1622569987996	1622569990971	2964	OK
REQUEST	Scen_1,SearchByActiveMember	Select_SearchByActiveMember	1622569991975	1622569992152	OK	 
GROUP	Scen_1,SearchByActiveMember	1622569991974	1622569992153	177	OK
REQUEST	Scen_1,SearchName_smith	Search_1	1622569993293	1622569995168	OK	 
REQUEST	Scen_1,SearchName_smith	Search_403324605	1622569995170	1622569996193	OK	 
GROUP	Scen_1,SearchName_smith	1622569993292	1622569996194	2898	OK
REQUEST	Scen_1,S_403324605	Select_smith	1622569997946	1622569998237	OK	 
REQUEST	Scen_1,S_403324605	request_1	1622569998239	1622569999264	OK	 
REQUEST	Scen_1,S_403324605	request_403324605	1622569999265	1622570003054	OK	 
GROUP	Scen_1,S_403324605	1622569997945	1622570003055	5105	OK
REQUEST	Scen_1,DrillDown_smith	68530	1622570004860	1622570005227	OK	 
GROUP	Scen_1,DrillDown_smith	1622570004859	1622570005227	367	OK
REQUEST	Scen_1,SearchByActiveMember	Select_SearchByActiveMember	1622570006923	1622570007168	OK	 
GROUP	Scen_1,SearchByActiveMember	1622570006922	1622570007169	245	OK
REQUEST	Scen_1,SearchName_roger	Search_1	1622570008458	1622570010031	OK	 
REQUEST	Scen_1,SearchName_roger	Search_403328329	1622570010033	1622570011764	OK	 
GROUP	Scen_1,SearchName_roger	1622570008457	1622570011765	3304	OK
REQUEST	Scen_1,S_403328329	Select_roger	1622570013087	1622570013432	OK	 
REQUEST	Scen_1,S_403328329	request_1	1622570013434	1622570014106	OK	 
REQUEST	Scen_1,S_403328329	request_403328329	1622570014107	1622570016979	OK	 
GROUP	Scen_1,S_403328329	1622570013086	1622570016980	3889	OK
REQUEST	Scen_1,DrillDown_roger	63702	1622570018729	1622570021752	OK	 
GROUP	Scen_1,DrillDown_roger	1622570018728	1622570021753	3023	OK
GROUP	Scen_1	1622569987996	1622570023693	21972	OK
USER	Users_1	END	1622570023695
