RUN	JJ.Framework.JJSim	jjsim	1622743012011	JJ.Framework.JJSim-SIMULATION_1_1:SIMULATION_2_0:SIMULATION_3_0:SIMULATION_4_:Iterations_7	3.5.1
USER	Users_1	START	1622743013505
REQUEST	NPI_Variable,NPI_1245318229	NPI_1245318229	1622743013522	1622743019034	OK	 
GROUP	NPI_Variable,NPI_1245318229	1622743013511	1622743019062	5512	OK
GROUP	NPI_Variable	1622743013508	1622743020862	5512	OK
REQUEST	NPI_Variable,NPI_1821049651	NPI_1821049651	1622743020867	1622743021136	OK	 
GROUP	NPI_Variable,NPI_1821049651	1622743020864	1622743021138	269	OK
GROUP	NPI_Variable	1622743020863	1622743022923	269	OK
REQUEST	NPI_Variable,NPI_1114976883	NPI_1114976883	1622743022925	1622743023083	OK	 
GROUP	NPI_Variable,NPI_1114976883	1622743022924	1622743023084	158	OK
GROUP	NPI_Variable	1622743022924	1622743024529	158	OK
REQUEST	NPI_Variable,NPI_1740270032	NPI_1740270032	1622743024531	1622743024717	OK	 
GROUP	NPI_Variable,NPI_1740270032	1622743024530	1622743024718	186	OK
GROUP	NPI_Variable	1622743024530	1622743026529	186	OK
REQUEST	NPI_Variable,NPI_1245419696	NPI_1245419696	1622743026531	1622743027325	OK	 
GROUP	NPI_Variable,NPI_1245419696	1622743026530	1622743027326	794	OK
GROUP	NPI_Variable	1622743026530	1622743029027	794	OK
REQUEST	NPI_Variable,NPI_1942331400	NPI_1942331400	1622743029029	1622743029200	OK	 
GROUP	NPI_Variable,NPI_1942331400	1622743029028	1622743029201	171	OK
GROUP	NPI_Variable	1622743029027	1622743031004	171	OK
REQUEST	NPI_Variable,NPI_1144239955	NPI_1144239955	1622743031006	1622743031420	OK	 
GROUP	NPI_Variable,NPI_1144239955	1622743031005	1622743031421	414	OK
GROUP	NPI_Variable	1622743031005	1622743032476	414	OK
USER	Users_1	END	1622743032480
