RUN	Optum.Framework.OptumSim	optumsim	1623793679871	Optum.Framework.OptumSim-SIMULATION_1_1:SIMULATION_2_1:SIMULATION_3_1:Iterations_1	3.5.1
USER	Users_1	START	1623793681439
REQUEST	Scen_1,Login	BasePage	1623793681457	1623793681793	OK	 
REQUEST	Scen_1,Login	BasePage_1	1623793681813	1623793681925	OK	 
REQUEST	Scen_1,Login	BasePage_2	1623793681933	1623793682015	OK	 
REQUEST	Scen_1,Login	BasePage_3	1623793682016	1623793682099	OK	 
REQUEST	Scen_1,Login	BasePage_4	1623793682100	1623793682182	OK	 
REQUEST	Scen_1,Login	BasePage_5	1623793682183	1623793684097	OK	 
GROUP	Scen_1,Login	1623793681442	1623793684098	2609	OK
REQUEST	Scen_1,SearchByActiveMember	Select_SearchByActiveMember	1623793685105	1623793685282	OK	 
GROUP	Scen_1,SearchByActiveMember	1623793685104	1623793685282	177	OK
REQUEST	Scen_1,SearchName_Name	Search_1	1623793686826	1623793687783	OK	 
REQUEST	Scen_1,SearchName_Name	Search_503328028	1623793687789	1623793688809	OK	 
GROUP	Scen_1,SearchName_Name	1623793686825	1623793688809	1977	OK
REQUEST	Scen_1,S_503328028	Select_Smith	1623793690746	1623793691100	OK	 
REQUEST	Scen_1,S_503328028	request_1	1623793691103	1623793696078	OK	 
REQUEST	Scen_1,S_503328028	request_503328028	1623793696080	1623793698844	OK	 
GROUP	Scen_1,S_503328028	1623793690745	1623793698845	8093	OK
REQUEST	Scen_1,DrillDown_Smith	68946	1623793700847	1623793701283	OK	 
GROUP	Scen_1,DrillDown_Smith	1623793700846	1623793701283	436	OK
GROUP	Scen_1	1623793681441	1623793702372	13292	OK
USER	Users_1	END	1623793702374
