RUN	MarsTest.Framework.MarsSim	marssim	1623879031668	MarsTest.Framework.MarsSim-SIMULATION_1_2:SIMULATION_2_0:SIMULATION_3_0:Iterations_10	3.5.1
REQUEST	MarsTestApi / API,GetProviderAddress		1623879033171	1623879033172	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestApi / API,GetProviderAddress	1623879033157	1623879033174	1	KO
GROUP	MarsTestApi / API	1623879033156	1623879033175	1	KO
USER	MarsTestApi5	START	1623879033154
REQUEST	MarsTestApi / API,GetProviderAddress		1623879033176	1623879033176	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestApi / API,GetProviderAddress	1623879033176	1623879033176	1	KO
GROUP	MarsTestApi / API	1623879033176	1623879033176	1	KO
REQUEST	MarsTestApi / API,GetProviderAddress		1623879033177	1623879033177	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestApi / API,GetProviderAddress	1623879033176	1623879033177	1	KO
GROUP	MarsTestApi / API	1623879033176	1623879033177	1	KO
REQUEST	MarsTestApi / API,GetProviderAddress		1623879033177	1623879033177	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestApi / API,GetProviderAddress	1623879033177	1623879033177	1	KO
GROUP	MarsTestApi / API	1623879033177	1623879033177	1	KO
REQUEST	MarsTestApi / API,GetProviderAddress		1623879033177	1623879033177	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestApi / API,GetProviderAddress	1623879033177	1623879033177	1	KO
GROUP	MarsTestApi / API	1623879033177	1623879033177	1	KO
REQUEST	MarsTestApi / API,GetProviderAddress		1623879033178	1623879033178	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestApi / API,GetProviderAddress	1623879033177	1623879033178	1	KO
GROUP	MarsTestApi / API	1623879033177	1623879033178	1	KO
REQUEST	MarsTestApi / API,GetProviderAddress		1623879033178	1623879033178	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestApi / API,GetProviderAddress	1623879033178	1623879033178	1	KO
GROUP	MarsTestApi / API	1623879033178	1623879033178	1	KO
REQUEST	MarsTestApi / API,GetProviderAddress		1623879033178	1623879033178	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestApi / API,GetProviderAddress	1623879033178	1623879033178	1	KO
GROUP	MarsTestApi / API	1623879033178	1623879033178	1	KO
