RUN	StarTest.Framework.StarSim	starsim	1624895277267	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1624895278710
REQUEST	,LOGIN	LOGIN	1624895278729	1624895279069	OK	 
GROUP	,LOGIN	1624895278713	1624895279087	340	OK
REQUEST	,GetStarNote	GetStarNote	1624895279093	1624895279483	OK	 
GROUP	,GetStarNote	1624895279089	1624895279485	390	OK
USER	Users_1	START	1624895279707
REQUEST	,LOGIN	LOGIN	1624895279708	1624895279993	OK	 
GROUP	,LOGIN	1624895279707	1624895279994	285	OK
USER	Users_1	START	1624895280707
REQUEST	,GetStarNote	GetStarNote	1624895279995	1624895280838	OK	 
GROUP	,GetStarNote	1624895279995	1624895280841	843	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895280494	1624895280884	OK	 
GROUP	,GetEpisodeOfCare	1624895280492	1624895280886	390	OK
REQUEST	,LOGIN	LOGIN	1624895280708	1624895280974	OK	 
GROUP	,LOGIN	1624895280707	1624895280975	266	OK
REQUEST	,GetStarNote	GetStarNote	1624895280976	1624895281330	OK	 
GROUP	,GetStarNote	1624895280975	1624895281331	354	OK
USER	Users_1	START	1624895281701
REQUEST	,LOGIN	LOGIN	1624895281702	1624895281975	OK	 
GROUP	,LOGIN	1624895281701	1624895281976	273	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895281845	1624895282453	OK	 
GROUP	,GetEpisodeOfCare	1624895281844	1624895282454	608	OK
REQUEST	,GetStarNote	GetStarNote	1624895281977	1624895282598	OK	 
GROUP	,GetStarNote	1624895281977	1624895282599	621	OK
USER	Users_1	START	1624895282703
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895282335	1624895282746	OK	 
GROUP	,GetEpisodeOfCare	1624895282335	1624895282747	411	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895281890	1624895282832	OK	 
GROUP	,GetStarUIMemberList	1624895281889	1624895282833	942	OK
REQUEST	,LOGIN	LOGIN	1624895282704	1624895282975	OK	 
GROUP	,LOGIN	1624895282703	1624895282976	271	OK
REQUEST	,GetStarNote	GetStarNote	1624895282977	1624895283338	OK	 
GROUP	,GetStarNote	1624895282977	1624895283339	361	OK
USER	Users_1	START	1624895283702
REQUEST	,LOGIN	LOGIN	1624895283703	1624895283977	OK	 
GROUP	,LOGIN	1624895283702	1624895283979	274	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895283602	1624895284123	OK	 
GROUP	,GetEpisodeOfCare	1624895283600	1624895284124	521	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895283457	1624895284192	OK	 
GROUP	,GetStarUIMemberList	1624895283456	1624895284193	735	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895283839	1624895284455	OK	 
GROUP	,GetStarUIMemberDetail	1624895283838	1624895284456	616	OK
REQUEST	,GetStarNote	GetStarNote	1624895283979	1624895284489	OK	 
GROUP	,GetStarNote	1624895283979	1624895284491	510	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895283753	1624895284585	OK	 
GROUP	,GetStarUIMemberList	1624895283752	1624895284586	832	OK
USER	Users_1	START	1624895284703
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895284342	1624895284812	OK	 
GROUP	,GetEpisodeOfCare	1624895284340	1624895284813	470	OK
REQUEST	,LOGIN	LOGIN	1624895284704	1624895285026	OK	 
GROUP	,LOGIN	1624895284704	1624895285028	322	OK
REQUEST	,GetStarNote	GetStarNote	1624895285029	1624895285562	OK	 
GROUP	,GetStarNote	1624895285028	1624895285563	533	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895285462	1624895285584	OK	 
GROUP	,ChatTranscript	1624895285461	1624895285585	122	OK
USER	Users_1	START	1624895285701
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895285195	1624895285721	OK	 
GROUP	,GetStarUIMemberDetail	1624895285194	1624895285722	526	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895285130	1624895285875	OK	 
GROUP	,GetStarUIMemberList	1624895285129	1624895285876	745	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895285494	1624895285952	OK	 
GROUP	,GetEpisodeOfCare	1624895285493	1624895285953	458	OK
REQUEST	,LOGIN	LOGIN	1624895285702	1624895285959	OK	 
GROUP	,LOGIN	1624895285701	1624895285960	257	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895285590	1624895286069	OK	 
GROUP	,GetStarUIMemberDetail	1624895285590	1624895286070	479	OK
REQUEST	,GetStarNote	GetStarNote	1624895285961	1624895286395	OK	 
GROUP	,GetStarNote	1624895285961	1624895286396	434	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895285819	1624895286584	OK	 
GROUP	,GetStarUIMemberList	1624895285818	1624895286585	765	OK
USER	Users_1	START	1624895286704
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895286566	1624895286966	OK	 
GROUP	,GetEpisodeOfCare	1624895286565	1624895286967	400	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895286879	1624895287264	OK	 
GROUP	,GetStarUIMemberDetail	1624895286878	1624895287264	385	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895286726	1624895287416	OK	 
GROUP	,ChatTranscript	1624895286726	1624895287417	690	OK
REQUEST	,GetStarNote	GetStarNote	1624895286587	1624895287487	OK	 
GROUP	,GetStarNote	1624895286587	1624895287487	900	OK
USER	Users_1	START	1624895287702
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895287400	1624895287809	OK	 
GROUP	,GetEpisodeOfCare	1624895287400	1624895287810	409	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895287591	1624895288043	OK	 
GROUP	,GetStarUIMemberDetail	1624895287590	1624895288044	452	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895286960	1624895288113	OK	 
GROUP	,GetStarUIMemberList	1624895286959	1624895288114	1153	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895287072	1624895289926	OK	 
GROUP	,ChatTranscript	1624895287071	1624895289927	2854	OK
REQUEST	,LOGIN	LOGIN	1624895286704	1624895290522	OK	 
GROUP	,LOGIN	1624895286704	1624895290523	3818	OK
REQUEST	,LOGIN	LOGIN	1624895287703	1624895290570	OK	 
GROUP	,LOGIN	1624895287702	1624895290571	2867	OK
REQUEST	,GetStarNote	GetStarNote	1624895288424	1624895290584	OK	 
GROUP	,GetStarNote	1624895288423	1624895290585	2160	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895288271	1624895290628	OK	 
GROUP	,ChatTranscript	1624895288270	1624895290629	2357	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895289050	1624895290777	OK	 
GROUP	,ChatTranscript	1624895289049	1624895290778	1727	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895288494	1624895291002	OK	 
GROUP	,GetEpisodeOfCare	1624895288493	1624895291002	2508	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895289119	1624895291153	OK	 
GROUP	,GetStarUIMemberDetail	1624895289118	1624895291154	2034	OK
REQUEST	,GetStarNote	GetStarNote	1624895290524	1624895291175	OK	 
GROUP	,GetStarNote	1624895290524	1624895291176	651	OK
REQUEST	,GetStarNote	GetStarNote	1624895290572	1624895291199	OK	 
GROUP	,GetStarNote	1624895290571	1624895291200	627	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895288816	1624895291242	OK	 
GROUP	,GetStarUIMemberList	1624895288815	1624895291243	2426	OK
REQUEST	,GetStarNote	GetStarNote	1624895290930	1624895291346	OK	 
GROUP	,GetStarNote	1624895290930	1624895291347	416	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895287969	1624895291444	OK	 
GROUP	,GetStarUIMemberList	1624895287968	1624895291445	3475	OK
REQUEST	,GetStarNote	GetStarNote	1624895291782	1624895291946	OK	 
GROUP	,GetStarNote	1624895291781	1624895291947	164	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895291587	1624895291963	OK	 
GROUP	,GetEpisodeOfCare	1624895291586	1624895291964	376	OK
REQUEST	,GetStarNote	GetStarNote	1624895291635	1624895292061	OK	 
GROUP	,GetStarNote	1624895291635	1624895292062	426	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895292160	1624895292259	OK	 
GROUP	,ChatTranscript	1624895292159	1624895292260	99	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895292181	1624895292943	OK	 
GROUP	,GetEpisodeOfCare	1624895292180	1624895292943	762	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895292008	1624895293005	OK	 
GROUP	,GetStarUIMemberList	1624895292007	1624895293006	997	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895292203	1624895293044	OK	 
GROUP	,GetEpisodeOfCare	1624895292203	1624895293045	841	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895292244	1624895293067	OK	 
GROUP	,GetStarUIMemberDetail	1624895292243	1624895293067	823	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895292447	1624895293177	OK	 
GROUP	,GetStarUIMemberDetail	1624895292446	1624895293178	730	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895292348	1624895293364	OK	 
GROUP	,GetEpisodeOfCare	1624895292347	1624895293365	1016	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895292949	1624895293660	OK	 
GROUP	,GetEpisodeOfCare	1624895292948	1624895293660	711	OK
REQUEST	,GetStarNote	GetStarNote	1624895293261	1624895293660	OK	 
GROUP	,GetStarNote	1624895293261	1624895293661	399	OK
