RUN	Optum.Framework.OptumSim	optumsim	1625760703072	Optum.Framework.OptumSim-SIMULATION_1_2:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1625760704491
REQUEST	,Login		1625760704509	1625760704845	OK	 
REQUEST	,Login	favicon.ico	1625760704893	1625760705147	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625760704895	1625760705252	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625760705149	1625760705255	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625760704896	1625760705258	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625760704894	1625760705268	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625760704896	1625760705404	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625760704895	1625760705418	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625760704895	1625760705435	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625760705256	1625760705988	OK	 
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625760705253	1625760707244	OK	 
REQUEST	,Login		1625760707245	1625760707328	OK	 
REQUEST	,Login		1625760707330	1625760707410	OK	 
REQUEST	,Login		1625760707411	1625760707758	OK	 
GROUP	,Login	1625760704495	1625760707759	3200	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760708767	1625760708957	OK	 
GROUP	,SearchByActiveMember	1625760708767	1625760708958	190	OK
REQUEST	,SearchName_Name	Search_1	1625760710920	1625760711214	OK	 
REQUEST	,SearchName_Name	Search_3330526	1625760711217	1625760711411	OK	 
GROUP	,SearchName_Name	1625760710916	1625760711411	488	OK
REQUEST	,S_3330526	Select_douglas	1625760713036	1625760713384	OK	 
REQUEST	,S_3330526	request_1	1625760713385	1625760714001	OK	 
REQUEST	,S_3330526	request_3330526	1625760714003	1625760714311	OK	 
GROUP	,S_3330526	1625760713036	1625760714312	1272	OK
REQUEST	,DrillDown_douglas	67672	1625760715854	1625760715993	OK	 
GROUP	,DrillDown_douglas	1625760715853	1625760715993	139	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760717716	1625760717908	OK	 
GROUP	,SearchByActiveMember	1625760717715	1625760717909	192	OK
REQUEST	,SearchName_Name	Search_1	1625760719564	1625760720043	OK	 
REQUEST	,SearchName_Name	Search_2003326739	1625760720045	1625760720462	OK	 
GROUP	,SearchName_Name	1625760719563	1625760720462	896	OK
REQUEST	,S_2003326739	Select_thomas	1625760722131	1625760722236	OK	 
REQUEST	,S_2003326739	request_1	1625760722237	1625760724654	OK	 
REQUEST	,S_2003326739	request_2003326739	1625760724655	1625760724961	OK	 
GROUP	,S_2003326739	1625760722131	1625760724962	2828	OK
REQUEST	,DrillDown_thomas	69195	1625760726702	1625760726903	OK	 
GROUP	,DrillDown_thomas	1625760726702	1625760726903	201	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760728057	1625760728197	OK	 
GROUP	,SearchByActiveMember	1625760728057	1625760728197	140	OK
REQUEST	,SearchName_Name	Search_1	1625760729822	1625760730287	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625760730288	1625760730697	OK	 
GROUP	,SearchName_Name	1625760729821	1625760730698	874	OK
REQUEST	,S_3231359	Select_smith	1625760732399	1625760732750	OK	 
REQUEST	,S_3231359	request_1	1625760732751	1625760733358	OK	 
REQUEST	,S_3231359	request_3231359	1625760733359	1625760733665	OK	 
GROUP	,S_3231359	1625760732398	1625760733666	1264	OK
USER	Users_1	START	1625760734485
REQUEST	,Login		1625760734485	1625760734825	OK	 
REQUEST	,Login	favicon.ico	1625760734827	1625760735152	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625760734828	1625760735167	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625760734828	1625760735169	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625760734829	1625760735204	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625760734829	1625760735242	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625760735153	1625760735319	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625760734829	1625760735500	OK	 
REQUEST	,DrillDown_smith	70078	1625760735456	1625760735577	OK	 
GROUP	,DrillDown_smith	1625760735455	1625760735577	121	OK
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625760735167	1625760736201	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625760735169	1625760737309	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760737085	1625760737487	OK	 
GROUP	,SearchByActiveMember	1625760737084	1625760737487	402	OK
REQUEST	,SearchName_Name	Search_1	1625760738522	1625760738956	OK	 
REQUEST	,SearchName_Name	Search_3328306	1625760738957	1625760739247	OK	 
GROUP	,SearchName_Name	1625760738521	1625760739247	724	OK
REQUEST	,S_3328306	Select_roger	1625760740592	1625760740852	OK	 
REQUEST	,S_3328306	request_1	1625760740853	1625760742095	OK	 
REQUEST	,S_3328306	request_3328306	1625760742095	1625760742429	OK	 
GROUP	,S_3328306	1625760740591	1625760742430	1836	OK
REQUEST	,DrillDown_roger	70075	1625760744299	1625760744417	OK	 
GROUP	,DrillDown_roger	1625760744298	1625760744418	118	OK
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625760734829	1625760744833	KO	i.n.c.ConnectTimeoutException: connection timed out: coho-advocate-ui-coho-qa3.origin-elr-core-nonprod.optum.com/10.176.169.33:443
REQUEST	,Login		1625760744835	1625760744919	OK	 
REQUEST	,Login		1625760744920	1625760745006	OK	 
REQUEST	,Login		1625760745006	1625760745315	OK	 
GROUP	,Login	1625760734485	1625760745316	10827	KO
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760746026	1625760746168	OK	 
GROUP	,SearchByActiveMember	1625760746026	1625760746168	142	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760746319	1625760746458	OK	 
GROUP	,SearchByActiveMember	1625760746319	1625760746458	139	OK
REQUEST	,SearchName_Name	Search_1	1625760747364	1625760748306	OK	 
REQUEST	,SearchName_Name	Search_1203330606	1625760748307	1625760748476	OK	 
GROUP	,SearchName_Name	1625760747363	1625760748477	1111	OK
REQUEST	,SearchName_Name	Search_1	1625760748344	1625760748578	OK	 
REQUEST	,SearchName_Name	Search_3330526	1625760748579	1625760748997	OK	 
GROUP	,SearchName_Name	1625760748343	1625760748997	652	OK
REQUEST	,S_1203330606	Select_baker	1625760750016	1625760750189	OK	 
REQUEST	,S_3330526	Select_douglas	1625760750623	1625760750724	OK	 
REQUEST	,S_3330526	request_1	1625760750725	1625760751279	OK	 
REQUEST	,S_3330526	request_3330526	1625760751280	1625760751588	OK	 
GROUP	,S_3330526	1625760750622	1625760751589	963	OK
REQUEST	,S_1203330606	request_1	1625760750190	1625760752545	OK	 
REQUEST	,S_1203330606	request_1203330606	1625760752546	1625760752830	OK	 
GROUP	,S_1203330606	1625760750015	1625760752830	2812	OK
REQUEST	,DrillDown_douglas	67672	1625760753473	1625760753603	OK	 
GROUP	,DrillDown_douglas	1625760753471	1625760753604	130	OK
REQUEST	,DrillDown_baker	68633	1625760753999	1625760754204	OK	 
GROUP	,DrillDown_baker	1625760753998	1625760754204	205	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760755030	1625760755188	OK	 
GROUP	,SearchByActiveMember	1625760755029	1625760755188	158	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760755738	1625760755909	OK	 
GROUP	,SearchByActiveMember	1625760755738	1625760755910	171	OK
REQUEST	,SearchName_Name	Search_1	1625760756522	1625760756736	OK	 
REQUEST	,SearchName_Name	Search_2003326739	1625760756737	1625760756985	OK	 
GROUP	,SearchName_Name	1625760756521	1625760756986	462	OK
REQUEST	,SearchName_Name	Search_1	1625760757601	1625760757919	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625760757920	1625760758345	OK	 
GROUP	,SearchName_Name	1625760757601	1625760758345	743	OK
REQUEST	,S_2003326739	Select_thomas	1625760758962	1625760759074	OK	 
REQUEST	,S_3231359	Select_smith	1625760760078	1625760760326	OK	 
REQUEST	,S_3231359	request_1	1625760760326	1625760761109	OK	 
REQUEST	,S_2003326739	request_1	1625760759075	1625760761286	OK	 
REQUEST	,S_3231359	request_3231359	1625760761110	1625760761345	OK	 
GROUP	,S_3231359	1625760760078	1625760761346	1266	OK
REQUEST	,S_2003326739	request_2003326739	1625760761287	1625760761519	OK	 
GROUP	,S_2003326739	1625760758961	1625760761519	2555	OK
REQUEST	,DrillDown_smith	70078	1625760762422	1625760762539	OK	 
GROUP	,DrillDown_smith	1625760762422	1625760762539	117	OK
REQUEST	,DrillDown_thomas	69195	1625760763061	1625760763251	OK	 
GROUP	,DrillDown_thomas	1625760763060	1625760763251	190	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760763683	1625760763839	OK	 
GROUP	,SearchByActiveMember	1625760763682	1625760763839	156	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760764784	1625760764926	OK	 
GROUP	,SearchByActiveMember	1625760764784	1625760764926	142	OK
REQUEST	,SearchName_Name	Search_1	1625760765128	1625760765306	OK	 
REQUEST	,SearchName_Name	Search_3328306	1625760765307	1625760765735	OK	 
GROUP	,SearchName_Name	1625760765127	1625760765735	606	OK
REQUEST	,S_3328306	Select_roger	1625760766826	1625760766921	OK	 
REQUEST	,SearchName_Name	Search_1	1625760766693	1625760767120	OK	 
REQUEST	,SearchName_Name	Search_1203330606	1625760767121	1625760767297	OK	 
GROUP	,SearchName_Name	1625760766692	1625760767297	603	OK
REQUEST	,S_3328306	request_1	1625760766922	1625760767659	OK	 
REQUEST	,S_3328306	request_3328306	1625760767660	1625760767970	OK	 
GROUP	,S_3328306	1625760766826	1625760767971	1142	OK
REQUEST	,S_1203330606	Select_baker	1625760768510	1625760768606	OK	 
REQUEST	,DrillDown_roger	70075	1625760769405	1625760769577	OK	 
GROUP	,DrillDown_roger	1625760769404	1625760769577	172	OK
REQUEST	,S_1203330606	request_1	1625760768607	1625760770941	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760770978	1625760771158	OK	 
GROUP	,SearchByActiveMember	1625760770977	1625760771158	180	OK
REQUEST	,S_1203330606	request_1203330606	1625760770942	1625760771178	OK	 
GROUP	,S_1203330606	1625760768510	1625760771178	2666	OK
REQUEST	,DrillDown_baker	68633	1625760772427	1625760772617	OK	 
GROUP	,DrillDown_baker	1625760772426	1625760772617	190	OK
REQUEST	,SearchName_Name	Search_1	1625760772868	1625760773077	OK	 
REQUEST	,SearchName_Name	Search_3330526	1625760773078	1625760773602	OK	 
GROUP	,SearchName_Name	1625760772867	1625760773603	733	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760774209	1625760774601	OK	 
GROUP	,SearchByActiveMember	1625760774208	1625760774601	392	OK
REQUEST	,S_3330526	Select_douglas	1625760775449	1625760775550	OK	 
REQUEST	,S_3330526	request_1	1625760775550	1625760775983	OK	 
REQUEST	,SearchName_Name	Search_1	1625760775949	1625760776172	OK	 
REQUEST	,S_3330526	request_3330526	1625760775983	1625760776260	OK	 
GROUP	,S_3330526	1625760775448	1625760776261	811	OK
REQUEST	,SearchName_Name	Search_2003326739	1625760776172	1625760776578	OK	 
GROUP	,SearchName_Name	1625760775948	1625760776578	629	OK
REQUEST	,S_2003326739	Select_thomas	1625760777892	1625760778070	OK	 
REQUEST	,DrillDown_douglas	67672	1625760777942	1625760778621	OK	 
GROUP	,DrillDown_douglas	1625760777941	1625760778621	679	OK
REQUEST	,S_2003326739	request_1	1625760778071	1625760780054	OK	 
REQUEST	,S_2003326739	request_2003326739	1625760780055	1625760780403	OK	 
GROUP	,S_2003326739	1625760777891	1625760780404	2509	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760780286	1625760780441	OK	 
GROUP	,SearchByActiveMember	1625760780286	1625760780441	155	OK
REQUEST	,DrillDown_thomas	69195	1625760781826	1625760781978	OK	 
GROUP	,DrillDown_thomas	1625760781825	1625760781978	152	OK
REQUEST	,SearchName_Name	Search_1	1625760781939	1625760782170	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625760782171	1625760782626	OK	 
GROUP	,SearchName_Name	1625760781938	1625760782626	686	OK
REQUEST	,S_3231359	Select_smith	1625760783914	1625760784010	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760783703	1625760784098	OK	 
GROUP	,SearchByActiveMember	1625760783703	1625760784098	395	OK
REQUEST	,S_3231359	request_1	1625760784011	1625760784457	OK	 
REQUEST	,S_3231359	request_3231359	1625760784458	1625760784763	OK	 
GROUP	,S_3231359	1625760783913	1625760784763	847	OK
REQUEST	,SearchName_Name	Search_1	1625760785579	1625760785757	OK	 
REQUEST	,SearchName_Name	Search_3328306	1625760785758	1625760785918	OK	 
GROUP	,SearchName_Name	1625760785578	1625760785918	338	OK
REQUEST	,DrillDown_smith	70078	1625760786098	1625760786265	OK	 
GROUP	,DrillDown_smith	1625760786098	1625760786265	167	OK
REQUEST	,S_3328306	Select_roger	1625760787359	1625760787463	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760787463	1625760787857	OK	 
GROUP	,SearchByActiveMember	1625760787462	1625760787857	394	OK
REQUEST	,S_3328306	request_1	1625760787464	1625760788209	OK	 
REQUEST	,S_3328306	request_3328306	1625760788210	1625760788452	OK	 
GROUP	,S_3328306	1625760787358	1625760788453	1091	OK
REQUEST	,SearchName_Name	Search_1	1625760788888	1625760789049	OK	 
REQUEST	,SearchName_Name	Search_1203330606	1625760789050	1625760789206	OK	 
GROUP	,SearchName_Name	1625760788887	1625760789206	317	OK
REQUEST	,DrillDown_roger	70075	1625760789737	1625760789865	OK	 
GROUP	,DrillDown_roger	1625760789736	1625760789866	128	OK
REQUEST	,S_1203330606	Select_baker	1625760790462	1625760790561	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760790956	1625760791087	OK	 
GROUP	,SearchByActiveMember	1625760790956	1625760791087	131	OK
REQUEST	,SearchName_Name	Search_1	1625760792435	1625760792633	OK	 
REQUEST	,S_1203330606	request_1	1625760790562	1625760792752	OK	 
REQUEST	,S_1203330606	request_1203330606	1625760792753	1625760793011	OK	 
GROUP	,S_1203330606	1625760790462	1625760793012	2547	OK
REQUEST	,SearchName_Name	Search_3330526	1625760792634	1625760793139	OK	 
GROUP	,SearchName_Name	1625760792434	1625760793139	703	OK
REQUEST	,S_3330526	Select_douglas	1625760794235	1625760794339	OK	 
REQUEST	,S_3330526	request_1	1625760794340	1625760794975	OK	 
REQUEST	,DrillDown_baker	68633	1625760794557	1625760795005	OK	 
GROUP	,DrillDown_baker	1625760794556	1625760795005	448	OK
REQUEST	,S_3330526	request_3330526	1625760794976	1625760795206	OK	 
GROUP	,S_3330526	1625760794234	1625760795206	969	OK
REQUEST	,DrillDown_douglas	67672	1625760796460	1625760796595	OK	 
GROUP	,DrillDown_douglas	1625760796459	1625760796595	135	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760796526	1625760796671	OK	 
GROUP	,SearchByActiveMember	1625760796526	1625760796671	145	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760798306	1625760798474	OK	 
GROUP	,SearchByActiveMember	1625760798305	1625760798474	168	OK
REQUEST	,SearchName_Name	Search_1	1625760798602	1625760798817	OK	 
REQUEST	,SearchName_Name	Search_2003326739	1625760798818	1625760799379	OK	 
GROUP	,SearchName_Name	1625760798601	1625760799379	776	OK
REQUEST	,SearchName_Name	Search_1	1625760800153	1625760800657	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625760800657	1625760800867	OK	 
GROUP	,SearchName_Name	1625760800152	1625760800868	714	OK
REQUEST	,S_2003326739	Select_thomas	1625760800881	1625760800993	OK	 
REQUEST	,S_3231359	Select_smith	1625760802560	1625760802679	OK	 
REQUEST	,S_2003326739	request_1	1625760800994	1625760803220	OK	 
REQUEST	,S_2003326739	request_2003326739	1625760803221	1625760803442	OK	 
GROUP	,S_2003326739	1625760800881	1625760803443	2559	OK
REQUEST	,S_3231359	request_1	1625760802680	1625760804014	OK	 
REQUEST	,S_3231359	request_3231359	1625760804015	1625760804322	OK	 
GROUP	,S_3231359	1625760802559	1625760804322	1760	OK
REQUEST	,DrillDown_thomas	69195	1625760805111	1625760805554	OK	 
GROUP	,DrillDown_thomas	1625760805110	1625760805554	443	OK
REQUEST	,DrillDown_smith	70078	1625760805562	1625760805672	OK	 
GROUP	,DrillDown_smith	1625760805561	1625760805672	110	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760806772	1625760806971	OK	 
GROUP	,SearchByActiveMember	1625760806772	1625760806971	199	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760806853	1625760807004	OK	 
GROUP	,SearchByActiveMember	1625760806852	1625760807004	151	OK
REQUEST	,SearchName_Name	Search_1	1625760808482	1625760809237	OK	 
REQUEST	,SearchName_Name	Search_1	1625760808063	1625760809237	OK	 
REQUEST	,SearchName_Name	Search_1203330606	1625760809238	1625760809545	OK	 
REQUEST	,SearchName_Name	Search_3328306	1625760809238	1625760809545	OK	 
GROUP	,SearchName_Name	1625760808063	1625760809545	1481	OK
GROUP	,SearchName_Name	1625760808482	1625760809545	1062	OK
REQUEST	,S_1203330606	Select_baker	1625760810573	1625760810677	OK	 
REQUEST	,S_3328306	Select_roger	1625760810626	1625760810717	OK	 
REQUEST	,S_3328306	request_1	1625760810718	1625760811390	OK	 
REQUEST	,S_3328306	request_3328306	1625760811391	1625760811695	OK	 
GROUP	,S_3328306	1625760810625	1625760811696	1067	OK
REQUEST	,S_1203330606	request_1	1625760810678	1625760812817	OK	 
REQUEST	,S_1203330606	request_1203330606	1625760812818	1625760813231	OK	 
GROUP	,S_1203330606	1625760810572	1625760813232	2656	OK
REQUEST	,DrillDown_roger	70075	1625760813549	1625760813673	OK	 
GROUP	,DrillDown_roger	1625760813548	1625760813673	124	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760814942	1625760815377	OK	 
GROUP	,SearchByActiveMember	1625760814942	1625760815377	435	OK
REQUEST	,DrillDown_baker	68633	1625760814825	1625760815792	OK	 
GROUP	,DrillDown_baker	1625760814824	1625760815792	967	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760817261	1625760817426	OK	 
GROUP	,SearchByActiveMember	1625760817261	1625760817426	165	OK
REQUEST	,SearchName_Name	Search_1	1625760817316	1625760817485	OK	 
REQUEST	,SearchName_Name	Search_3330526	1625760817486	1625760817889	OK	 
GROUP	,SearchName_Name	1625760817315	1625760817889	572	OK
REQUEST	,S_3330526	Select_douglas	1625760819139	1625760819257	OK	 
REQUEST	,SearchName_Name	Search_1	1625760819385	1625760819783	OK	 
REQUEST	,S_3330526	request_1	1625760819257	1625760819847	OK	 
REQUEST	,SearchName_Name	Search_2003326739	1625760819783	1625760819940	OK	 
GROUP	,SearchName_Name	1625760819384	1625760819940	555	OK
REQUEST	,S_3330526	request_3330526	1625760819848	1625760820297	OK	 
GROUP	,S_3330526	1625760819139	1625760820297	1157	OK
REQUEST	,S_2003326739	Select_thomas	1625760821099	1625760821198	OK	 
REQUEST	,DrillDown_douglas	67672	1625760821606	1625760821739	OK	 
GROUP	,DrillDown_douglas	1625760821606	1625760821740	133	OK
REQUEST	,S_2003326739	request_1	1625760821198	1625760823143	OK	 
REQUEST	,S_2003326739	request_2003326739	1625760823143	1625760823412	OK	 
GROUP	,S_2003326739	1625760821098	1625760823412	2313	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760823649	1625760823794	OK	 
GROUP	,SearchByActiveMember	1625760823649	1625760823795	145	OK
REQUEST	,DrillDown_thomas	69195	1625760825116	1625760825587	OK	 
GROUP	,DrillDown_thomas	1625760825115	1625760825588	471	OK
REQUEST	,SearchName_Name	Search_1	1625760825452	1625760825905	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625760825906	1625760826128	OK	 
GROUP	,SearchName_Name	1625760825452	1625760826129	675	OK
REQUEST	,S_3231359	Select_smith	1625760827131	1625760827232	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760827155	1625760827321	OK	 
GROUP	,SearchByActiveMember	1625760827155	1625760827321	166	OK
REQUEST	,S_3231359	request_1	1625760827233	1625760827871	OK	 
REQUEST	,S_3231359	request_3231359	1625760827871	1625760828182	OK	 
GROUP	,S_3231359	1625760827131	1625760828182	1050	OK
REQUEST	,SearchName_Name	Search_1	1625760829142	1625760829300	OK	 
REQUEST	,SearchName_Name	Search_3328306	1625760829300	1625760829712	OK	 
GROUP	,SearchName_Name	1625760829141	1625760829713	570	OK
REQUEST	,DrillDown_smith	70078	1625760829355	1625760829715	OK	 
GROUP	,DrillDown_smith	1625760829354	1625760829715	360	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760830974	1625760831115	OK	 
GROUP	,SearchByActiveMember	1625760830974	1625760831115	141	OK
REQUEST	,S_3328306	Select_roger	1625760831173	1625760831270	OK	 
REQUEST	,S_3328306	request_1	1625760831270	1625760831865	OK	 
REQUEST	,S_3328306	request_3328306	1625760831866	1625760832160	OK	 
GROUP	,S_3328306	1625760831173	1625760832161	986	OK
REQUEST	,SearchName_Name	Search_1	1625760832149	1625760832307	OK	 
REQUEST	,SearchName_Name	Search_1203330606	1625760832308	1625760832511	OK	 
GROUP	,SearchName_Name	1625760832148	1625760832511	361	OK
REQUEST	,S_1203330606	Select_baker	1625760833966	1625760834058	OK	 
REQUEST	,DrillDown_roger	70075	1625760834035	1625760834146	OK	 
GROUP	,DrillDown_roger	1625760834034	1625760834146	111	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625760835333	1625760835718	OK	 
GROUP	,SearchByActiveMember	1625760835333	1625760835718	385	OK
REQUEST	,S_1203330606	request_1	1625760834058	1625760836271	OK	 
REQUEST	,S_1203330606	request_1203330606	1625760836271	1625760836578	OK	 
GROUP	,S_1203330606	1625760833965	1625760836579	2612	OK
REQUEST	,SearchName_Name	Search_1	1625760837338	1625760837490	OK	 
REQUEST	,SearchName_Name	Search_3330526	1625760837491	1625760837647	OK	 
GROUP	,SearchName_Name	1625760837337	1625760837647	308	OK
REQUEST	,DrillDown_baker	68633	1625760837731	1625760838011	OK	 
GROUP	,DrillDown_baker	1625760837731	1625760838012	280	OK
