RUN	StarTest.Framework.StarSim	starsim	1625844692388	StarTest.Framework.StarSim-SIMULATION_1_20:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1625844693804
REQUEST	Authenticate	Authenticate	1625844693821	1625844694089	OK	 
GROUP	Authenticate	1625844693806	1625844694102	268	OK
REQUEST	GetStarNote	GetStarNote	1625844694109	1625844694452	OK	 
GROUP	GetStarNote	1625844694104	1625844694454	343	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844697066	1625844697602	OK	 
GROUP	GetEpisodeOfCare	1625844697064	1625844697602	536	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844698780	1625844699609	OK	 
GROUP	GetStarUIMemberList	1625844698779	1625844699610	829	OK
USER	Users_1	START	1625844699796
REQUEST	Authenticate	Authenticate	1625844699797	1625844700130	OK	 
GROUP	Authenticate	1625844699796	1625844700131	333	OK
REQUEST	GetStarNote	GetStarNote	1625844700132	1625844700507	OK	 
GROUP	GetStarNote	1625844700131	1625844700507	375	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844700661	1625844701082	OK	 
GROUP	GetStarUIMemberDetail	1625844700660	1625844701083	421	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844702432	1625844702927	OK	 
GROUP	GetEpisodeOfCare	1625844702431	1625844702928	495	OK
REQUEST	ChatTranscript	ChatTranscript	1625844703551	1625844703664	OK	 
GROUP	ChatTranscript	1625844703550	1625844703664	113	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844704103	1625844705006	OK	 
GROUP	GetStarUIMemberList	1625844704102	1625844705006	903	OK
REQUEST	GetStarNote	GetStarNote	1625844705273	1625844705639	OK	 
GROUP	GetStarNote	1625844705272	1625844705639	366	OK
USER	Users_1	START	1625844705797
REQUEST	Authenticate	Authenticate	1625844705797	1625844706058	OK	 
GROUP	Authenticate	1625844705797	1625844706059	261	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844706352	1625844706753	OK	 
GROUP	GetStarUIMemberDetail	1625844706351	1625844706753	401	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844707538	1625844708110	OK	 
GROUP	GetEpisodeOfCare	1625844707538	1625844708110	572	OK
REQUEST	ChatTranscript	ChatTranscript	1625844708148	1625844708955	OK	 
GROUP	ChatTranscript	1625844708148	1625844708956	807	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844710654	1625844711376	OK	 
GROUP	GetStarUIMemberList	1625844710653	1625844711377	722	OK
REQUEST	GetStarNote	GetStarNote	1625844711306	1625844711458	OK	 
GROUP	GetStarNote	1625844711306	1625844711458	152	OK
REQUEST	GetStarNote	GetStarNote	1625844706060	1625844711471	OK	 
GROUP	GetStarNote	1625844706059	1625844711471	5411	OK
USER	Users_1	START	1625844711795
REQUEST	Authenticate	Authenticate	1625844711796	1625844712187	OK	 
GROUP	Authenticate	1625844711795	1625844712187	391	OK
REQUEST	GetStarNote	GetStarNote	1625844712188	1625844712525	OK	 
GROUP	GetStarNote	1625844712188	1625844712525	337	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844712995	1625844713399	OK	 
GROUP	GetEpisodeOfCare	1625844712995	1625844713399	404	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844713474	1625844714087	OK	 
GROUP	GetEpisodeOfCare	1625844713473	1625844714087	613	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844714294	1625844714702	OK	 
GROUP	GetStarUIMemberDetail	1625844714293	1625844714702	408	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844714412	1625844714796	OK	 
GROUP	GetEpisodeOfCare	1625844714411	1625844714796	384	OK
REQUEST	ChatTranscript	ChatTranscript	1625844715729	1625844715830	OK	 
GROUP	ChatTranscript	1625844715729	1625844715830	101	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844715394	1625844716133	OK	 
GROUP	GetStarUIMemberList	1625844715393	1625844716133	739	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844715855	1625844716528	OK	 
GROUP	GetStarUIMemberList	1625844715854	1625844716528	673	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844716254	1625844717117	OK	 
GROUP	GetStarUIMemberList	1625844716254	1625844717117	863	OK
REQUEST	GetStarNote	GetStarNote	1625844717113	1625844717422	OK	 
GROUP	GetStarNote	1625844717112	1625844717422	309	OK
USER	Users_1	START	1625844717799
REQUEST	Authenticate	Authenticate	1625844717800	1625844718133	OK	 
GROUP	Authenticate	1625844717799	1625844718134	333	OK
REQUEST	GetStarNote	GetStarNote	1625844718134	1625844718491	OK	 
GROUP	GetStarNote	1625844718134	1625844718492	357	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844718926	1625844719724	OK	 
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844719188	1625844719724	OK	 
GROUP	GetStarUIMemberDetail	1625844719187	1625844719724	536	OK
GROUP	GetStarUIMemberDetail	1625844718925	1625844719724	798	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844719897	1625844720423	OK	 
GROUP	GetEpisodeOfCare	1625844719896	1625844720423	526	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844719950	1625844720463	OK	 
GROUP	GetStarUIMemberDetail	1625844719949	1625844720463	513	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844720355	1625844720843	OK	 
GROUP	GetEpisodeOfCare	1625844720354	1625844720843	488	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844721813	1625844722515	OK	 
GROUP	GetStarUIMemberList	1625844721812	1625844722515	702	OK
REQUEST	ChatTranscript	ChatTranscript	1625844722515	1625844722595	OK	 
REQUEST	ChatTranscript	ChatTranscript	1625844721064	1625844722595	OK	 
GROUP	ChatTranscript	1625844722515	1625844722595	80	OK
GROUP	ChatTranscript	1625844721063	1625844722595	1531	OK
REQUEST	ChatTranscript	ChatTranscript	1625844722313	1625844722600	OK	 
GROUP	ChatTranscript	1625844722313	1625844722601	287	OK
USER	Users_1	START	1625844723796
REQUEST	Authenticate	Authenticate	1625844723796	1625844724109	OK	 
GROUP	Authenticate	1625844723796	1625844724110	313	OK
REQUEST	GetStarNote	GetStarNote	1625844723881	1625844724145	OK	 
GROUP	GetStarNote	1625844723881	1625844724145	264	OK
REQUEST	GetStarNote	GetStarNote	1625844724064	1625844724347	OK	 
GROUP	GetStarNote	1625844724063	1625844724347	283	OK
REQUEST	GetStarNote	GetStarNote	1625844724111	1625844724507	OK	 
GROUP	GetStarNote	1625844724110	1625844724507	396	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844723797	1625844724531	OK	 
GROUP	GetStarUIMemberList	1625844723796	1625844724531	734	OK
REQUEST	GetStarNote	GetStarNote	1625844725201	1625844725345	OK	 
GROUP	GetStarNote	1625844725200	1625844725346	144	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844724958	1625844725376	OK	 
GROUP	GetStarUIMemberDetail	1625844724957	1625844725376	418	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844725354	1625844725757	OK	 
GROUP	GetEpisodeOfCare	1625844725354	1625844725757	403	OK
REQUEST	ChatTranscript	ChatTranscript	1625844726569	1625844726655	OK	 
GROUP	ChatTranscript	1625844726569	1625844726655	86	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844726819	1625844727199	OK	 
GROUP	GetStarUIMemberDetail	1625844726818	1625844727199	380	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844727190	1625844727609	OK	 
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844727141	1625844727609	OK	 
GROUP	GetEpisodeOfCare	1625844727189	1625844727609	419	OK
GROUP	GetEpisodeOfCare	1625844727140	1625844727609	468	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844728051	1625844728443	OK	 
GROUP	GetEpisodeOfCare	1625844728050	1625844728444	392	OK
REQUEST	ChatTranscript	ChatTranscript	1625844728561	1625844728635	OK	 
GROUP	ChatTranscript	1625844728560	1625844728636	74	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844728270	1625844729462	OK	 
GROUP	GetStarUIMemberList	1625844728269	1625844729462	1192	OK
REQUEST	GetStarNote	GetStarNote	1625844729430	1625844729756	OK	 
GROUP	GetStarNote	1625844729429	1625844729756	326	OK
USER	Users_1	START	1625844729794
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844729230	1625844729929	OK	 
GROUP	GetStarUIMemberList	1625844729230	1625844729930	699	OK
REQUEST	Authenticate	Authenticate	1625844729794	1625844731251	OK	 
GROUP	Authenticate	1625844729794	1625844731252	1457	OK
REQUEST	GetStarNote	GetStarNote	1625844730498	1625844731251	OK	 
GROUP	GetStarNote	1625844730498	1625844731252	753	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844730453	1625844731612	OK	 
GROUP	GetStarUIMemberList	1625844730453	1625844731613	1159	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844730425	1625844731622	OK	 
GROUP	GetStarUIMemberList	1625844730425	1625844731622	1197	OK
REQUEST	GetStarNote	GetStarNote	1625844731252	1625844731631	OK	 
GROUP	GetStarNote	1625844731252	1625844731631	379	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844731340	1625844731769	OK	 
GROUP	GetStarUIMemberDetail	1625844731339	1625844731769	429	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844731764	1625844732365	OK	 
GROUP	GetEpisodeOfCare	1625844731763	1625844732366	601	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844732344	1625844732924	OK	 
GROUP	GetStarUIMemberDetail	1625844732343	1625844732925	580	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844733157	1625844733786	OK	 
GROUP	GetEpisodeOfCare	1625844733157	1625844733786	629	OK
REQUEST	ChatTranscript	ChatTranscript	1625844733654	1625844733930	OK	 
